user_biography,user_followers,user_following,user_is_private,user_is_verified,user_username,user_media_count,latest_media_comments,latest_media_likes
,1027,1932,False,False,a.a.ghasami20,1,1,122
,105,7195,False,False,amirijik1,9,0,2
,98,1900,False,False,mohamah.kurd,4,0,10
,124,7336,False,False,golmar0543,10,0,1
,83,2410,True,False,sadegh_abde,24,,
,121,6884,False,False,ghalbeyakhi1290,16,1,4
,59,571,False,False,a64802299,10,0,0
,184,5406,False,False,hana.colection1,22,0,6
,500,5485,True,False,ha.nie895,5,,
,142,7501,False,False,gnwkly5,25,0,5
,139,3392,False,False,hosnaamiri99,10,0,44
,10,1197,False,False,sisi_2425,0,,
,83,3129,False,False,yamm._.s3,4,0,1
"Saram👀
Rst✌️
منو تنهاييام😉☹️
Singele✌️
زندگيم فقط ابجيم😍",148,4210,True,False,sara__javadiiim,5,,
,158,7195,False,False,4hch_ccf,4,1,13
,131,6388,False,False,maryamapi_,22,0,3
,51,2996,True,False,dary_anoori,23,,
"Kurd👸
🇮🇷🇹🇷",50,735,True,False,hengamebaboli,22,,
,69,1206,False,False,mahan.2033.nm,4,0,1
,97,727,False,False,kami_24751,8,0,0
,1300,1706,False,False,javad.rahmani2021,7,0,5
"#روژان_کرباسی🍓🍃
#پیرسینگ_گوش😍
#اپلاسیون🙈
#کاشت_مژه_والیوم_مگاوالیوم_صفرتاصد👀😍
رشت جاده رشت به فومن سرای عزیزی کوچه آقا سید ابراهیم سالن زیبایی روژان 💄",1576,1355,False,False,ruzhan.keratin,21,12,71
"singlee
shiraz",149,5430,True,False,aramahmadi612,22,,
,49,1451,True,False,sahariii__06,6,,
💜,52,1001,True,False,meli.ka1022,4,,
,63,2766,False,False,akaaka1444,22,0,0
"༒☬Daniyal AliMohammadi☬༒     
ِ
🎓Field of Study : BioMedical Engineering💊🔧
ِ
🎼I love Playing guitar 🎸
ِ🎼Beat Maker🎹
ِ
📝Author Of Short Text📝
ِ
Karma⏳",4211,1304,False,False,daniyal_real,2,0,852
"Guitar🎸
Ordibehesht mahi👸
Bad girl
Madarm♥️",2076,4678,True,False,sana.__.13811,3,,
,88,4874,False,False,arminsabri2020,4,0,3
"Yazd ❤khozestan
🛵cb  1300
Perspolis🔴",1405,4011,False,False,javadhydari69,143,2,405
"فرق خیلی زیادیه بین کسی که “کم میاره”
با کسی که “کوتاه میاد”…!!",1753,3241,False,False,zaiden001,1,0,357
"I love💞khoda,mamanam,babam,dadasham💞
aban mahi
Direct=block😡
ممنون از حسن صبوری که پیجم رو برگردوند
@hassan_saboorii",173,1273,False,False,banoy_paeizy,75,1,43
,76,2445,False,False,jshdh.35,25,0,2
,393,6616,False,False,ms_nazii77,11,0,120
,86,4331,True,False,fcb_.barcelon,26,,
"اصلا تو خوبی 
توجلو
ماپشتیم
ولی این راهی که میری گرگاشو ماکشتیم £",1513,2661,False,False,hadi._.pooransari,3,8,130
,92,4960,False,False,qwsoheyl,22,0,2
,217,7498,False,False,mazan.dokht,22,1,5
,80,4599,False,False,tatalooi11221,4,0,0
"Goodness without love is impossible
خوبی بدون عشق غیر ممکن است
1989",147,3603,True,False,sara_rezaee_deh_2020,24,,
Baresie keifiat,94,4937,False,False,rami_n6634,4,0,2
,402,3127,False,False,mobg488,4,0,0
فقط خدا میتونه مجازاتم کنه⚔,447,670,True,False,_mohammad_beroo,0,,
فقط خدا 🙏🏼🙏🏼,84,6635,True,False,liliyajonn799,5,,
,58,739,False,False,elmira_hemati9,23,0,1
,357,1717,False,False,_bad.girli,4,0,8
"Hi guys💣😍😍
Im nini🙈",72,3345,False,False,ninijojo47,4,0,1
,101,6778,True,False,shooka.saberii7,23,,
"میخوای به ما برسی
هه
بدو تا برسی",100,2894,False,False,zah_ra78z,24,0,12
➖⃟🕷•• 𝒚𝒐υ𝒓 ѕмι𝒍𝒆 𝒄н𝒂𝒏𝒈𝒆ѕ м𝒚 𝒘𝒐𝒓𝒍𝒅!,520,7497,False,False,__sima._.hr,4,5,53
,67,2184,False,False,safa_9581,4,0,1
,72,2919,False,False,farhad.ahmadii2024,4,0,1
REFF02I3VLZA9,90,5402,False,False,alijiji4,4,0,4
,112,4873,True,False,tintina202,23,,
In the name of god,90,1661,True,False,li_sun_do,5,,
,68,3299,False,False,shahen.838,4,0,1
,130,3879,False,False,m44r.r,4,0,24
,67,2887,False,False,bahadori9074,22,0,0
,101,3905,False,False,loosi264,23,0,0
.,71,2160,False,False,alireza.13890,24,0,1
,97,873,False,False,mobi.n5375,4,0,10
